Model,DP (proxy),DP (no proxy),DP % change,EO (proxy),EO (no proxy),EO % change
Logistic Regression,0.0356,0.0275,-22.8%,0.086,0.0964,+12.1%
Random Forest,0.0341,0.0235,-31.1%,0.1663,0.1882,+13.2%
