Model,Accuracy,F1,AUC,|Dem. Parity Diff|,|Eq. Odds Diff|
Logistic Regression,0.7217 ± 0.0107,0.7807 ± 0.0104,0.7685 ± 0.0115,0.0273 ± 0.0161,0.159 ± 0.0577
Random Forest,0.7721 ± 0.0109,0.8317 ± 0.0079,0.8174 ± 0.0086,0.028 ± 0.0208,0.1723 ± 0.0488
